city,rank,image,region,country,stadium,capacity,home_team,location
Frankfurt,139,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG/250px-Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG,Europe,Germany,Deutsche Bank Park,0,Eintracht Frankfurt,"[50.0686103, 8.6454154]"
Seville,140,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg/250px-Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg,Europe,Spain,Estadio La Cartuja de Sevilla,0,,"[37.4172352, -6.0046134]"
Raleigh  North Carolina,141,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Carter_Finley_Stadium_at_Sunset.jpg/250px-Carter_Finley_Stadium_at_Sunset.jpg,North America,United States,Carter–Finley Stadium,0,NC State Wolfpack football,"[35.8008464, -78.7196045]"
Buenos Aires,142,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/La_Bombonera.jpg/250px-La_Bombonera.jpg,South America,Argentina,La Bombonera,0,CA Boca Juniors,"[-34.6355171, -58.3649163]"
Hamburg,143,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Volksparkstadion_Panorama.jpg/250px-Volksparkstadion_Panorama.jpg,Europe,Germany,Volkspark­stadion,0,Hamburger SV,"[53.5871535, 9.8987056]"
Córdoba,144,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Estadio_Kempes_luego_de_finalizar_un_partido.jpg/250px-Estadio_Kempes_luego_de_finalizar_un_partido.jpg,South America,Argentina,Estadio Mario Alberto Kempes,0,Talleres de Córdoba  some Belgrano de Córdoba matches.,"[-31.3688468, -64.2461451]"
Jinan  Shandong,145,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/JinanOlympic.JPG/250px-JinanOlympic.JPG,East Asia,China,Jinan Olympic Sports Centre Stadium,0,Shandong Taishan,"[36.6563763, 117.1102322]"
Guadalajara  Jalisco,146,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Estadio_Jalisco_06022022.jpg/250px-Estadio_Jalisco_06022022.jpg,North America,Mexico,Estadio Jalisco,0,Atlas,"[20.7047861, -103.3276735]"
Edmonton  Alberta,147,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Commonwealth_Stadium.jpg/250px-Commonwealth_Stadium.jpg,North America,Canada,Common­wealth Stadium,0,Edmonton Elks  Canadian men's and women's national teams,"[53.5596586, -113.4764233]"
Los Angeles,148,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg/250px-Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg,North America,United States,Dodger Stadium,0,Los Angeles Dodgers,"[34.0736255, -118.2398452]"
Annaba,149,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Annaba_Stadium.jpg/250px-Annaba_Stadium.jpg,Africa,Algeria,19 May 1956 Stadium,0,USM Annaba,"[36.8858551, 7.7339276]"
Barcelona  Catalonia,150,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg/250px-Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg,Europe,Spain,Estadi Olímpic Lluís Companys,0,,"[41.36472, 2.1556451]"
Avellaneda,151,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Racing_Club_vs._Corinthians_-_CONMEBOL_Sudamericana_2024.jpg/250px-Racing_Club_vs._Corinthians_-_CONMEBOL_Sudamericana_2024.jpg,South America,Argentina,El Cilindro,0,Racing,"[-34.6675758, -58.3685308]"
Porto Alegre  Rio Grande do Sul,152,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Arena_do_Gr%C3%AAmio.jpg/250px-Arena_do_Gr%C3%AAmio.jpg,South America,Brazil,Arena do Grêmio,0,Grêmio FBPA,"[-29.9740429, -51.1951073]"
Bucharest,153,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Stadionul_National_-_National_Arena_3.jpg/250px-Stadionul_National_-_National_Arena_3.jpg,Europe,Romania,Arena Națională,0,Romania national football team,"[44.4372494, 26.1524758]"
Belgrade,154,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Zvezda_stadion.jpg/250px-Zvezda_stadion.jpg,Europe,Serbia,Stadion Rajko Mitić,0,Red Star Belgrade  Serbia national football team,"[44.783220299999996, 20.4646751]"
Chorzów,155,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Widok_bramka.jpg/250px-Widok_bramka.jpg,Europe,Poland,Stadion Śląski,0,Poland national football team  Ruch Chorzów,"[50.2882457, 18.9734993]"
Manchester  North West England,156,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Etihad_Stadium.jpg/250px-Etihad_Stadium.jpg,Europe,England,Etihad Stadium,0,Manchester City,"[53.4831448, -2.2005273]"
Nairobi,157,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Inside_the_Kasarani_Stadium.jpg/250px-Inside_the_Kasarani_Stadium.jpg,Africa,Kenya,Moi International Sports Centre,0,Kenya national football team,"[-1.2275475, 36.890182]"
Valencia,158,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG/250px-CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG,Europe,Spain,Mestalla,0,Valencia CF,"[39.4745279, -0.3581566]"
Singapore,159,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/SingaporeNationalStadiumJapanBrazilFootball.jpg/250px-SingaporeNationalStadiumJapanBrazilFootball.jpg,Southeast Asia,Singapore,National Stadium,0,Singapore national football team,"[1.304491, 103.8743437]"
Kaohsiung,160,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/The_Main_Stadium_for_2009_World_Games_panorama.jpg/250px-The_Main_Stadium_for_2009_World_Games_panorama.jpg,East Asia,Taiwan,National Stadium,0,Chinese Taipei national football team,"[22.7028534, 120.2936331]"
Changsha  Hunan,161,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Helong_Stadium.jpg/250px-Helong_Stadium.jpg,East Asia,China,He Long Stadium,0,,"[28.181759, 112.9773897]"
Cape Town  Western Cape,162,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Cape_Town_Stadium_Inside.jpg/250px-Cape_Town_Stadium_Inside.jpg,Africa,South Africa,Cape Town Stadium,0,Cape Town City FC  DHL Western Cape Stormers,"[-33.9034601, 18.4111458]"
Plovdiv,163,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Plovdiv_Stadium.JPG/250px-Plovdiv_Stadium.JPG,Europe,Bulgaria,Plovdiv Stadium,0,,"[42.1497674, 24.7199114]"
Atlanta,164,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/BDS2013.jpg/250px-BDS2013.jpg,North America,United States,Bobby Dodd Stadium,0,Georgia Tech Yellow Jackets football,"[33.772476, -84.3929589]"
Amsterdam,165,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ajax_0_Chelsea_1_%2823Oct19%29.jpg/250px-Ajax_0_Chelsea_1_%2823Oct19%29.jpg,Europe,Netherlands,Johan Cruijff Arena,0,AFC Ajax,"[52.314353, 4.9428431]"
Guangzhou  Guangdong,166,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Tianhe_Stadium.jpg/250px-Tianhe_Stadium.jpg,East Asia,China,Tianhe Stadium,0,,"[23.1405033, 113.3193597]"
Naples,167,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg/250px-Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg,Europe,Italy,Stadio Diego Armando Maradona,0,SSC Napoli,"[40.8279773, 14.192889]"
Tianjin,168,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Tianjin_Olympic_Center_Stadium.jpg/250px-Tianjin_Olympic_Center_Stadium.jpg,East Asia,China,Tianjin Olympic Sports Centre Stadium,0,Tianjin Teda,"[39.3032619, 117.4163641]"
Düsseldorf,169,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/LTU_arena_panorama.jpg/250px-LTU_arena_panorama.jpg,Europe,Germany,MERKUR SPIEL-ARENA,0,Fortuna Düsseldorf,"[51.261629, 6.7331516]"
Tbilisi,170,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg/250px-Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg,West Asia,Georgia,Boris Paitchadze Dinamo Arena,0,Georgia national football team  FC Dinamo Tbilisi,"[41.7230285, 44.7897943]"
Wuhan  Hubei,171,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Wuhan_Sport_Centre_01.jpg/250px-Wuhan_Sport_Centre_01.jpg,East Asia,China,Wuhan Sports Centre Stadium,0,,"[30.5024679, 114.1661281]"
Vancouver  British Columbia,172,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/BC_Place_2015_Women%27s_FIFA_World_Cup.jpg/250px-BC_Place_2015_Women%27s_FIFA_World_Cup.jpg,North America,Canada,BC Place Stadium,0,Vancouver Whitecaps FC  BC Lions,"[49.2766905, -123.1120062]"
New York City,173,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/YankeeStadium-9-21-22-1.jpg/250px-YankeeStadium-9-21-22-1.jpg,North America,United States,Yankee Stadium,0,New York Yankees  New York City FC,"[40.8295828, -73.9265212]"
Yerevan,174,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/HrazdanArmeniaTurkey.JPG/250px-HrazdanArmeniaTurkey.JPG,West Asia,Armenia,Hrazdan Stadium,0,FC Ararat Yerevan  Ulisses FC,"[40.1803671, 44.4946703]"
Mönchen­gladbach,175,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Borussia-Park_DEU-FRA_2011.jpg/250px-Borussia-Park_DEU-FRA_2011.jpg,Europe,Germany,BORUSSIA-PARK,0,Borussia Mönchengladbach,"[51.1746249, 6.3854094]"
Durban  KwaZulu-Natal,176,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/FIFA_World_Cup_2010_Netherlands_Japan.jpg/250px-FIFA_World_Cup_2010_Netherlands_Japan.jpg,Africa,South Africa,Moses Mabhida Stadium,0,AmaZulu FC  Cell C Durban Sharks,"[-29.8290201, 31.0313741]"
Istanbul,177,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Galatasaray_Arena_North-West_Corner.jpg/250px-Galatasaray_Arena_North-West_Corner.jpg,Europe,Turkey,RAMS Park,0,Galatasaray,"[41.103369, 28.9909522]"
Busan,178,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/BusanAsiadStadium.jpg/250px-BusanAsiadStadium.jpg,East Asia,South Korea,Busan Asiad Main Stadium,0,Busan IPark,"[35.1900767, 129.0595481]"
Belém  Pará,179,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Mangueir%C3%A3o_em_2023.jpg/250px-Mangueir%C3%A3o_em_2023.jpg,South America,Brazil,Estádio Estadual Jornalista Edgar Augusto Proença,0,Paysandu SC  Clube do Remo  Tuna Luso Brasileira  SC Belem,"[-1.3811727, -48.4439318]"
La Plata,180,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/EstadioUnicoLaPlata_Interior_June2014.jpg/250px-EstadioUnicoLaPlata_Interior_June2014.jpg,South America,Argentina,Estadio Único Diego Armando Maradona,0,,"[-34.9138408, -57.9890476]"
Adelaide  South Australia,181,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/After_Game_Kick_and_Catch_%2813750115664%29.jpg/250px-After_Game_Kick_and_Catch_%2813750115664%29.jpg,Oceania,Australia,Adelaide Oval,0,Adelaide Crows  Port Adelaide Power,"[-34.9155596, 138.5962772]"
Melbourne  Victoria,182,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Melbourne_Derby_December_2014.jpg/250px-Melbourne_Derby_December_2014.jpg,Oceania,Australia,Docklands Stadium,0,Western Bulldogs  Essendon  St. Kilda  Carlton  North Melbourne,"[-37.816529, 144.947517]"
Uberlândia  Minas Gerais,183,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg/250px-Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg,South America,Brazil,Estádio Municipal João Havelange,0,Uberlânia EC,"[-18.915812, -48.2519317]"
Bilbao,184,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg/250px-San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg,Europe,Spain,San Mamés,0,Athletic Bilbao,"[43.264204, -2.9493915]"
Aleppo,185,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg/250px-Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg,West Asia,Syria,Aleppo International Stadium,0,Al-Ittihad,"[36.1849318, 37.1176418]"
Lima,186,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Estadio_Nacional_nuevo_07_10_2011.jpg/250px-Estadio_Nacional_nuevo_07_10_2011.jpg,South America,Peru,Estadio Nacional,0,Peru national football team,"[-12.0670683, -77.0338629]"
Hangzhou  Zhejiang,187,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Hangzhou-yellow-dragon-stad.jpg/250px-Hangzhou-yellow-dragon-stad.jpg,East Asia,China,Huanglong Stadium,0,Hangzhou FC,"[30.2489634, 120.2052342]"
Brisbane  Queensland,188,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Suncorpstadium071006a.JPG/250px-Suncorpstadium071006a.JPG,Oceania,Australia,Suncorp Stadium,0,Brisbane Broncos  Queensland Maroons  Brisbane Roar FC  Queensland Reds,"[-27.4648603, 153.0096055]"
Newcastle upon Tyne  North East,189,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/StJamesParkPanorama.jpg/250px-StJamesParkPanorama.jpg,Europe,England,St. James' Park,0,Newcastle United,"[54.9754693, -1.6218737]"
Lisbon,190,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Alvalade0023.jpg/250px-Alvalade0023.jpg,Europe,Portugal,Estádio José Alvalade,0,Sporting CP,"[38.7612164, -9.1607831]"
Durban  KwaZulu-Natal,191,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kings_Park_panorama.jpg/250px-Kings_Park_panorama.jpg,Africa,South Africa,Kings Park Stadium,0,Lamontville Golden Arrows  Cell C Durban Sharks,"[-29.8248051, 31.0289735]"
Cape Town  Western Cape,192,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Proudly_South_African.jpg/250px-Proudly_South_African.jpg,Africa,South Africa,Newlands Stadium,0,,"[-33.9705226, 18.4685626]"
Glasgow,193,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Hampden_Park%2C_January_2023.jpg/250px-Hampden_Park%2C_January_2023.jpg,Europe,Scotland,Hampden Park,0,Scotland national football team  Queen's Park,"[55.826014, -4.2519271]"
Maturín,194,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Monumental_de_maturin_3.jpg/250px-Monumental_de_maturin_3.jpg,South America,Venezuela,Estadio Monumental de Maturín,0,Monagas Sport Club,"[9.7422774, -63.1888854]"
Pretoria  Gauteng,195,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Loftus_Versfeld_Game_Night.JPG/250px-Loftus_Versfeld_Game_Night.JPG,Africa,South Africa,Loftus Versfeld Stadium,0,SuperSport United and Vodacom Pretoria Bulls,"[-25.7532347, 28.2229327]"
Dublin,196,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Aviva_Stadium_Panoramic.jpg/250px-Aviva_Stadium_Panoramic.jpg,Europe,Ireland,Aviva Stadium,0,Leinster Rugby  Republic of Ireland national football team  Ireland national rugby union team,"[53.3352254, -6.2281851]"
Guiyang  Guizhou,197,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Guiyang_Olympic_Sports_Center.jpg/250px-Guiyang_Olympic_Sports_Center.jpg,East Asia,China,Guiyang Olympic Sports Centre Stadium,0,,"[26.6206664, 106.6058467]"
Hohhot  Inner Mongolia,198,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Hohhot_City_Stadium.jpg/250px-Hohhot_City_Stadium.jpg,East Asia,China,Hohhot City Stadium,0,,"[40.8511397, 111.6504625]"
Bangkok,199,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Rajamangala_Stadium_Panorama.jpg/250px-Rajamangala_Stadium_Panorama.jpg,Southeast Asia,Thailand,Rajamangala National Stadium,0,Thailand national football team,"[13.7554291, 100.6221559]"
Donetsk,200,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Donbass_Arena.jpg/250px-Donbass_Arena.jpg,Europe,Ukraine,Donbas Arena,0,,"[48.0211038, 37.8090531]"
İzmir,201,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg/250px-%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg,West Asia,Turkey,İzmir Atatürk Stadyumu,0,Altay SK  Göztepe AŞ,"[38.4349835, 27.1780113]"
Rotterdam,202,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Rotterdam_De_Kuip_1.jpg/250px-Rotterdam_De_Kuip_1.jpg,Europe,Netherlands,Stadion Feijenoord,0,Feyenoord,"[51.8938646, 4.5232281]"
Monterrey,203,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Estadio_BBVA.jpg/250px-Estadio_BBVA.jpg,North America,Mexico,Estadio BBVA,0,CF Monterrey,"[25.6691103, -100.2443559]"
Ahvaz,204,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Al-Ghadeer_Stadium.jpg/250px-Al-Ghadeer_Stadium.jpg,West Asia,Iran,Ghadir Stadium,0,Foolad FC,"[31.2462916, 48.7597528]"
Porto Alegre. Rio Grande do Sul,205,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg/250px-Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg,South America,Brazil,Estádio José Pinheiro Borda,0,SC Internacional,"[-30.0654898, -51.2349178]"
Glasgow,206,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Rangers-SM_%281%29.jpg/250px-Rangers-SM_%281%29.jpg,Europe,Scotland,Ibrox Stadium,0,Rangers FC,"[55.8532206, -4.3093239]"
Fukuroi  Shizuoka,207,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ecopa030304.jpg/250px-Ecopa030304.jpg,East Asia,Japan,Shizuoka Stadium,0,Júbilo Iwata  Shimizu S-Pulse  Shizuoka Blue Revs,"[34.7434304, 137.9707289]"
Vienna,208,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg/250px-EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg,Europe,Austria,Ernst-Happel-Stadion,0,Austria national football team,"[48.2071894, 16.4209171]"
Minneapolis,209,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/MNUFCTCF.jpeg/250px-MNUFCTCF.jpeg,North America,United States,Huntington Bank Stadium,0,Minnesota Golden Gophers football,"[44.976539700000004, -93.2240767]"
Tizi Ouzou,210,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Tizi_Ouzou_Stadium_at_night.jpg/250px-Tizi_Ouzou_Stadium_at_night.jpg,Africa,Algeria,Hocine Ait Ahmed Stadium,0,JS Kabylie,"[36.7291289, 4.0126574]"
Puebla,211,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Rampa_norte.jpg/250px-Rampa_norte.jpg,North America,Mexico,Estadio Cuauhtémoc,0,Puebla FC,"[19.0780307, -98.1643653]"
Solna,212,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/FriendsArena_SwedenSpain.jpg/250px-FriendsArena_SwedenSpain.jpg,Europe,Sweden,Strawberry Arena,0,Sweden men's national football team  AIK Fotboll,"[59.3725039, 18.0016672]"
Istanbul,213,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sukrusaracoglu.jpg/250px-Sukrusaracoglu.jpg,West Asia,Turkey,Ülker Stadyumu,0,Fenerbahçe,"[41.006381, 28.9758715]"
Palo Alto  California,214,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/2008-1115-006-USC-Stanford-PAN.jpg/250px-2008-1115-006-USC-Stanford-PAN.jpg,North America,United States,Stanford Stadium,0,,"[37.4345264, -122.1619867]"
Villeneuve-d'Ascq,215,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mauroy_Stadium_Eurobasket_2015.JPG/250px-Mauroy_Stadium_Eurobasket_2015.JPG,Europe,France,Stade Pierre-Mauroy,0,Lille OSC,"[50.6119044, 3.130508]"
Brussels,216,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Stade_Roi_Baudouin.JPG/250px-Stade_Roi_Baudouin.JPG,Europe,Belgium,Stade Roi Baudouin,0,Belgium national football team,"[50.8957221, 4.3341279]"
Xi'an  Shaanxi,217,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,East Asia,China,Shaanxi Province Stadium,0,,"[34.2340542, 108.9365826]"
Chofu  Tokyo,218,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ajinomoto_Stadium_2018-13.jpg/250px-Ajinomoto_Stadium_2018-13.jpg,East Asia,Japan,Ajinomoto Stadium,0,FC Tokyo  Tokyo Verdy  Tokyo Sungoliath  Toshiba Brave Lupus Tokyo,"[35.6641865, 139.5270752]"
Porto,219,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg/250px-Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg,Europe,Portugal,Estádio do Dragão,0,FC Porto,"[41.1618235, -8.5837492]"
Salvador  Bahia,220,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Arena_Fonte_Nova_External_View.jpg/250px-Arena_Fonte_Nova_External_View.jpg,South America,Brazil,Casa de Apostas Arena Fonte Nova,0,EC Bahia,"[-12.9787926, -38.5035601]"
Kinshasa,221,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Africa,DR Congo,Stade Tata Raphaël,0,AS Vita Club  DC Motema Pembe,"[-4.3379266, 15.3226297]"
Sousse,222,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Stade_olympique_de_Sousse.jpg/250px-Stade_olympique_de_Sousse.jpg,Africa,Tunisia,Stade Olympique de Sousse,0,Étoile du Sahel,"[35.8234702, 10.6135481]"
Cologne,223,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/FIFA_WM06_Stadion_Koeln.jpg/250px-FIFA_WM06_Stadion_Koeln.jpg,Europe,Germany,Rhein­Energie­STADION,0,1. FC Köln,"[50.9335055, 6.8751166999999995]"
Harbin  Heilongjiang,224,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,East Asia,China,Harbin Sports City Centre Stadium,0,,"[45.7807221, 126.6364189]"
Trivandrum,225,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Greenfield_International_Stadium_Kerala.jpg/250px-Greenfield_International_Stadium_Kerala.jpg,South Asia,India,Greenfield International Stadium,0,,"[8.5723164, 76.8847502]"
Kozhikode,226,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kozhikode_EMS_Stadium.jpg/250px-Kozhikode_EMS_Stadium.jpg,South Asia,India,EMS Stadium,0,India national football team  Gokulam Kerala FC,"[11.2563999, 75.7856251]"
Lucknow,227,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/K_D_Singh_Babu_Stadium.jpg/250px-K_D_Singh_Babu_Stadium.jpg,South Asia,India,KD Singh Babu Stadium,0,,"[26.8553535, 80.9376841]"
Auckland,228,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Auckland_EdenPark.jpg/250px-Auckland_EdenPark.jpg,Oceania,New Zealand,Eden Park,0,Auckland Blues  New Zealand Warriors,"[-36.8750352, 174.7440567]"
Luanda,229,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Football_stadium_%286178263468%29.jpg/250px-Football_stadium_%286178263468%29.jpg,Africa,Angola,Estádio 11 de Novembro,0,Angola national football team  Primeiro de Agosto  Petro Luanda,"[-8.969921, 13.2835311]"
Zhengzhou  Henan,230,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,East Asia,China,Henan Provincial Stadium,0,,"[34.8374127, 113.6228562]"
Nanchang  Jiangxi,231,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,East Asia,China,Jiangxi Olympic Sports Center,0,,"[28.6472124, 116.0348483]"
Nuremberg,232,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Frankenstadion_2.JPG/250px-Frankenstadion_2.JPG,Europe,Germany,Max-Morlock-Stadion,0,1. FC Nürnberg,"[49.4262569, 11.1256706]"
Tripoli,233,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/11_June_Stadium_BenTaher.jpg/250px-11_June_Stadium_BenTaher.jpg,Africa,Libya,June 11 Stadium,0,Libya  Al-Ahly SC  Al-Ittihad Tripoli  Al-Madina SC,"[32.8598956, 13.135806]"
Urumqi  Xinjiang,234,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,East Asia,China,Xinjiang Sports Centre Stadium,0,,"[43.8407522, 87.5264865]"
Pyongyang,235,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/North_Korea_v_Philippines%2C_8_October_2015_F.png/250px-North_Korea_v_Philippines%2C_8_October_2015_F.png,East Asia,North Korea,Kim Il-sung Stadium,0,Pyongyang City Sports Club,"[39.0438585, 125.7577377]"
Hiroshima,236,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Big_Arch_Stadium_Panorama.jpg/250px-Big_Arch_Stadium_Panorama.jpg,East Asia,Japan,EDION Stadium Hiroshima,0,Sanfrecce Hiroshima,"[34.4015066, 132.4545843]"
Shiraz,237,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Pars_Stadium_Photos_Image_6.jpg/250px-Pars_Stadium_Photos_Image_6.jpg,West Asia,Iran,Pars Shiraz Stadium,0,Fajr Sepasi Shiraz FC,"[29.6060218, 52.5378041]"
Bamako,238,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Stade_du_26-mars.png/250px-Stade_du_26-mars.png,Africa,Mali,Stade du 26 mars,0,Stade Malien,"[12.6043766, -7.9217374]"
Dakar,239,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Africa,Senegal,Stade Abdoulaye Wade,0,Senegal national football team,"[14.7327571, -17.2014923]"
