city,rank,image,region,country,stadium,capacity,home_team,location
Seattle  Washington,65,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Qwest_Field_North.jpg/250px-Qwest_Field_North.jpg,North America,United States,Lumen Field,0,Seattle Sounders FC  Seattle Seahawks,"[47.5953459, -122.3316443]"
Mexico City,66,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Estadio_Pumas.jpg/250px-Estadio_Pumas.jpg,North America,Mexico,Estadio Olímpico Universitario,0,UNAM Pumas,"[19.3316881, -99.1922864]"
Foxborough  Massachusetts,67,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Stadiumguillete_%28cropped%29.jpg/250px-Stadiumguillete_%28cropped%29.jpg,North America,United States,Gillette Stadium,0,New England Patriots  New England Revolution,"[42.0908879, -71.2641731]"
Jeddah,68,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Jawhara_Stadium.jpg/250px-Jawhara_Stadium.jpg,West Asia,Saudi Arabia,King Abdullah Sports City Stadium,0,Saudi Arabia national football team  Al-Ahli Saudi FC  Al-Ittihad Saudi Club,"[26.3790481, 43.9477172]"
Philadelphia,69,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/USA-Turkey-Linc.jpg/250px-USA-Turkey-Linc.jpg,North America,United States,Lincoln Financial Field,0,Philadelphia Eagles  Temple Owls football,"[39.9009099, -75.1674892]"
Santa Clara  California,70,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Entering_Levi%27s_Stadium.JPG/250px-Entering_Levi%27s_Stadium.JPG,North America,United States,Levi's Stadium,0,San Francisco 49ers,"[37.4029867, -121.9696489]"
Pittsburgh,71,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Heinz_Field_NHL_Winter_Classic.jpg/250px-Heinz_Field_NHL_Winter_Classic.jpg,North America,United States,Acrisure Stadium,0,Pittsburgh Steelers  Pittsburgh Panthers football,"[40.4467166, -80.0157199]"
Saint Petersburg,72,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Fina-l2017.jpg/250px-Fina-l2017.jpg,Europe,Russia,Gazprom Arena,0,FC Zenit Saint Petersburg,"[59.9723766, 30.2210608]"
Lisbon,73,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/LuzLissabon.jpg/250px-LuzLissabon.jpg,Europe,Portugal,Estádio do Sport Lisboa e Benfica,0,Benfica,"[38.7526893, -9.1846899]"
Tokyo,74,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Drones_durante_a_abertura_das_Olimp%C3%ADadas_de_T%C3%B3quio.jpg/250px-Drones_durante_a_abertura_das_Olimp%C3%ADadas_de_T%C3%B3quio.jpg,East Asia,Japan,National Stadium,0,,"[35.6778596, 139.7135142]"
Jacksonville  Florida,75,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/2009_Gator_Bowl.jpg/250px-2009_Gator_Bowl.jpg,North America,United States,TIAA Bank Field,0,Jacksonville Jaguars,"[30.3296041, -81.6606327]"
Marseille,76,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Stade_V%C3%A9lodrome_1.jpg/250px-Stade_V%C3%A9lodrome_1.jpg,Europe,France,Orange Vélodrome,0,Olympique de Marseille,"[43.269835, 5.3959117]"
Budapest,77,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Pusk%C3%A1s_Ar%C3%A9na_01.jpg/250px-Pusk%C3%A1s_Ar%C3%A9na_01.jpg,Europe,Hungary,Puskás Aréna,0,Hungary national football team,"[47.503109, 19.0980509]"
Edinburgh,78,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg/250px-Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg,Europe,Scotland,Scottish Gas Murrayfield Stadium,0,Scotland national rugby union team,"[55.9423132, -3.2408951]"
Casablanca,79,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Stade_Mohamed_V%2C_Casablanca.jpg/250px-Stade_Mohamed_V%2C_Casablanca.jpg,Africa,Morocco,Stade Mohammed V,0,Wydad  Raja  Morocco national team,"[33.5828249, -7.6468329]"
Indianapolis  Indiana,80,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/LucasOilStadiumTheLuke.jpg/250px-LucasOilStadiumTheLuke.jpg,North America,United States,Lucas Oil Stadium,0,Indianapolis Colts,"[39.7590621, -86.1638376]"
São Paulo  São Paulo,81,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Estadio_Morumbi_2014.jpg/250px-Estadio_Morumbi_2014.jpg,South America,Brazil,MorumBIS,0,São Paulo FC,"[-23.6001016, -46.7201264]"
St. Louis,82,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/2005_NCAA_North_Carolina_v_Michigan_State.JPG/250px-2005_NCAA_North_Carolina_v_Michigan_State.JPG,North America,United States,The Dome,0,St. Louis BattleHawks,"[42.7786911, -73.1701063]"
Tabriz,83,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Yadegar_Emam_stadium_at_night_-_panoramio.jpg/250px-Yadegar_Emam_stadium_at_night_-_panoramio.jpg,West Asia,Iran,Yadegar-e-Emam Stadium,0,Tractor Sazi FC,"[38.0738612, 46.2978789]"
Seoul,84,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/AFC_Champions_League_Final_1st_leg.jpg/250px-AFC_Champions_League_Final_1st_leg.jpg,East Asia,South Korea,Seoul World Cup Stadium,0,FC Seoul,"[37.5683021, 126.8972477]"
Minneapolis,85,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Looking_South-US_Bank_Stadium.jpg/250px-Looking_South-US_Bank_Stadium.jpg,North America,United States,US Bank Stadium,0,Minnesota Vikings,"[44.9736155, -93.2574663]"
Daegu,86,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Daegu.Stadium.original.2167.jpg/250px-Daegu.Stadium.original.2167.jpg,East Asia,South Korea,Daegu Stadium,0,Daegu FC,"[35.8297517, 128.6901254]"
Beijing,87,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/New_Workers%27_Stadium_under_construction_%2820221025141129%29.jpg/250px-New_Workers%27_Stadium_under_construction_%2820221025141129%29.jpg,East Asia,China,Workers' Stadium,0,Beijing Guoan  China national football team,"[39.9323548, 116.4442038]"
London,88,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/London_Stadium_panorama_picture.jpg/250px-London_Stadium_panorama_picture.jpg,Europe,England,London Stadium,0,West Ham United,"[51.5386206, -0.016623799999999998]"
Tampa  Florida,89,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/RaymondJamesStadium2022.jpg/250px-RaymondJamesStadium2022.jpg,North America,United States,Raymond James Stadium,0,Tampa Bay Buccaneers  South Florida Bulls football  Tampa Bay Vipers,"[27.9759793, -82.5033545]"
Miami Gardens  Florida,90,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Interior_of_updated_Hard_Rock_Stadium.jpg/250px-Interior_of_updated_Hard_Rock_Stadium.jpg,North America,United States,Hard Rock Stadium,0,Miami Dolphins  Miami Hurricanes football,"[25.9579031, -80.2388497]"
Montreal  Quebec,91,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Montreal_Impact_CONCACAF_FINAL.jpg/250px-Montreal_Impact_CONCACAF_FINAL.jpg,North America,Canada,Olympic Stadium,0,CF Montréal,"[45.5577984, -73.5516458]"
Basra,92,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Basra_International_Stadium_Opening_2.JPG/250px-Basra_International_Stadium_Opening_2.JPG,West Asia,Iraq,Basra International Stadium,0,Iraq national football team,"[30.4399273, 47.779863399999996]"
Orlando  Florida,93,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Citrus_Bowl%2C_Construction_progress.jpg/250px-Citrus_Bowl%2C_Construction_progress.jpg,North America,United States,Camping World Stadium,0,,"[28.5390398, -81.4027504]"
San Antonio,94,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Alamodome_Conference_USA_Championship.jpg/250px-Alamodome_Conference_USA_Championship.jpg,North America,United States,Alamodome,0,UTSA Roadrunners football,"[29.4168923, -98.4788949]"
Detroit,95,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/FordField-2008NCAAtournament-MidwestRegional.jpg/250px-FordField-2008NCAAtournament-MidwestRegional.jpg,North America,United States,Ford Field,0,Detroit Lions,"[42.3399567, -83.0456166]"
Tangier,96,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Stade_Ibn_Batuta%2C_Tanger.jpg/250px-Stade_Ibn_Batuta%2C_Tanger.jpg,Africa,Morocco,Stade Ibn Battuta,0,IR Tanger  Morocco national team,"[35.7412689, -5.8580825]"
Algiers,97,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Stade_5_Juillet_1962.jpg/250px-Stade_5_Juillet_1962.jpg,Africa,Algeria,Stade du 5 Juillet,0,Algeria national football team,"[36.7595143, 2.9952724]"
Fortaleza  Ceará,98,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Castel%C3%A3o_Arena_%285%29.jpg/250px-Castel%C3%A3o_Arena_%285%29.jpg,South America,Brazil,Castelão,0,Ceará SC  Fortaleza EC,"[-3.806742, -38.5216794]"
Saitama,99,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Saitama_Stadium_Panorama.jpg/250px-Saitama_Stadium_Panorama.jpg,East Asia,Japan,Saitama Stadium 2002,0,Urawa Red Diamonds  Saitama Wild Knights,"[35.90308, 139.7168256]"
Johannesburg  Gauteng,100,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Warm-ups_at_Brazil_%26_North_Korea_match_at_FIFA_World_Cup_2010-06-15_1.jpg/250px-Warm-ups_at_Brazil_%26_North_Korea_match_at_FIFA_World_Cup_2010-06-15_1.jpg,Africa,South Africa,Ellis Park Stadium,0,Orlando Pirates FC  Emirates Johannesburg Lions,"[-26.1974789, 28.0607682]"
London,101,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Spurs_stadium_January_2020.jpg/250px-Spurs_stadium_January_2020.jpg,Europe,England,Tottenham Hotspur Stadium,0,Tottenham Hotspur,"[51.604157, -0.0662604]"
Gelsenkirchen,102,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/080110_schalke_arena_germany.JPG/250px-080110_schalke_arena_germany.JPG,Europe,Germany,VELTINS-Arena,0,FC Schalke 04,"[51.5545938, 7.0676001]"
Qingdao  Shandong,103,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Qingdao_Guoxin_Stadium.jpg/250px-Qingdao_Guoxin_Stadium.jpg,East Asia,China,Yizhong Sports Centre Stadium,0,Qingdao Jonoon FC,"[36.1614396, 120.4935835]"
Belo Horizonte  Minas Gerais,104,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Stadion_Belo_Horizonte_Halbfinale_WM_2014_%2822117986076%29.jpg/250px-Stadion_Belo_Horizonte_Halbfinale_WM_2014_%2822117986076%29.jpg,South America,Brazil,Estádio Governador Magalhães Pinto,0,Atlético Mineiro  Cruzeiro EC,"[-19.8659115, -43.9710434]"
Riyadh,105,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%83%8F%E3%83%89%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0.jpg/250px-%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%83%8F%E3%83%89%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0.jpg,West Asia,Saudi Arabia,King Fahd International Stadium,0,Saudi Arabia national football team  Al-Hilal  Al-Nassr  Al-Shabab,"[24.7885806, 46.8391449]"
Chicago,106,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/The_Refurbished_Soldier_Field.jpg/250px-The_Refurbished_Soldier_Field.jpg,North America,United States,Soldier Field,0,Chicago Bears,"[41.8623356, -87.6176477]"
Nanjing  Jiangsu,107,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Nanjing_Olympic_Sports_Center_inner_view_%282016%29.jpg/250px-Nanjing_Olympic_Sports_Center_inner_view_%282016%29.jpg,East Asia,China,Nanjing Olympic Sports Centre Stadium,0,,"[32.0106825, 118.7197543]"
Liverpool  England,108,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg/250px-Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg,Europe,England,Anfield,0,Liverpool FC,"[53.4309164, -2.9609313999999998]"
Seville,109,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Estadio_Benito_Villamar%C3%ADn_2018001.jpg/250px-Estadio_Benito_Villamar%C3%ADn_2018001.jpg,Europe,Spain,Estadio Benito Villamarín,0,Real Betis,"[37.3564503, -5.9809176]"
Abuja,110,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Football_heaven.jpg/250px-Football_heaven.jpg,Africa,Nigeria,Abuja Stadium,0,Nigeria national football team,"[9.0643305, 7.4892974]"
Stuttgart,111,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Neckarstadion_2011.jpg/250px-Neckarstadion_2011.jpg,Europe,Germany,MHPArena,0,VfB Stuttgart,"[48.7922487, 9.2320857]"
Glasgow,112,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Celtic_park_2.jpg/250px-Celtic_park_2.jpg,Europe,Scotland,Celtic Park,0,Celtic FC,"[55.8501815, -4.2068227]"
Arequipa,113,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/OutsideUNSA.jpg/250px-OutsideUNSA.jpg,South America,Peru,Estadio de la UNSA,0,FBC Melgar,"[-16.4073043, -71.5204685]"
London,114,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Emirates_Stadium_-_East_stand_Club_Level.jpg/250px-Emirates_Stadium_-_East_stand_Club_Level.jpg,Europe,England,Emirates Stadium,0,Arsenal,"[51.5550403, -0.1083997]"
Shenzhen  Guangdong,115,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/%E6%B7%B1%E5%9C%B3%E9%BE%99%E5%B2%97%E5%A4%A7%E8%BF%90%E4%B8%AD%E5%BF%83%E4%BD%93%E8%82%B2%E9%A6%86%E5%86%85%E9%83%A8.jpg/250px-%E6%B7%B1%E5%9C%B3%E9%BE%99%E5%B2%97%E5%A4%A7%E8%BF%90%E4%B8%AD%E5%BF%83%E4%BD%93%E8%82%B2%E9%A6%86%E5%86%85%E9%83%A8.jpg,East Asia,China,Shenzhen Universiade Sports Centre Stadium,0,,"[22.6970397, 114.2123372]"
Montevideo,116,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Estadio_Centenario_2021.jpg/250px-Estadio_Centenario_2021.jpg,South America,Uruguay,Estadio Centenario,0,Uruguay national football team,"[-34.8945393, -56.1526841]"
Recife  Pernambuco,117,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Arruda_em_novembro_de_2013.JPG/250px-Arruda_em_novembro_de_2013.JPG,South America,Brazil,Estádio José do Rego Maciel,0,Santa Cruz FC,"[-8.0268093, -34.8911967]"
Dakar,118,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg/250px-Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg,Africa,Senegal,Stade Léopold Sédar Senghor,0,Senegal national football team  ASC Jeanne d'Arc,"[14.7467716, -17.451914]"
Al-Khor,119,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Al_Bayt_Stadium_architecture.jpg/250px-Al_Bayt_Stadium_architecture.jpg,West Asia,Qatar,Al-Bayt Stadium,0,,"[25.6521339, 51.4878055]"
Dar es-Salaam,120,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Tanzania_National_Main_Stadium_Aerial.jpg/250px-Tanzania_National_Main_Stadium_Aerial.jpg,Africa,Tanzania,Benjamin Mkapa National Stadium,0,Tanzania national football team  Young Africans,"[-6.8535747, 39.2732935]"
Hefei  Anhui,121,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Hefei_Olympic_Sports_Center_Stadium.jpg/250px-Hefei_Olympic_Sports_Center_Stadium.jpg,East Asia,China,Hefei Olympic Sports Centre Stadium,0,Anhui Jiufang,"[31.797877, 117.222612]"
Kuwait City,122,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Jaber_Al-Ahmad_International_Stadium_2019_local.png/250px-Jaber_Al-Ahmad_International_Stadium_2019_local.png,West Asia,Kuwait,Jaber al-Ahmad International Stadium,0,Kuwait national football team,"[29.2714649, 47.9187755]"
Tunis,123,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Mozambique-Tunisia_match_2009.jpg/250px-Mozambique-Tunisia_match_2009.jpg,Africa,Tunisia,Hammadi Agrebi Stadium,0,Tunisia national football team,"[36.7477717, 10.27314]"
New Delhi,124,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Jawaharlal_Nehru_Stadium%2C_New_Delhi.png/250px-Jawaharlal_Nehru_Stadium%2C_New_Delhi.png,South Asia,India,Jawaharlal Nehru Stadium,0,,"[28.6430859, 77.2192671]"
Mogadishu,125,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Mogadishustadium.jpg/250px-Mogadishustadium.jpg,Africa,Somalia,Mogadishu Stadium,0,Somalia national football team,"[2.0674672, 45.3354647]"
Lusaka,126,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Inauguration_of_Edgar_Lungu.jpg/250px-Inauguration_of_Edgar_Lungu.jpg,Africa,Zambia,National Heroes Stadium,0,Zambian national football team,"[-15.3695067, 28.273742]"
Eugene  Oregon,127,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Autzen_Stadium_at_night.jpg/250px-Autzen_Stadium_at_night.jpg,North America,United States,Autzen Stadium,0,,"[44.0582178, -123.0684379]"
Mabopane  Gauteng,128,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Africa,South Africa,Odi Stadium,0,,"[-25.5216914, 28.0405651]"
Phnom Penh,129,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Southeast Asia,Cambodia,Morodok Techo National Stadium,0,Cambodia national football team,"[11.6829771, 104.8763078]"
Shenyang  Liaoning,130,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg/250px-Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg,East Asia,China,Shenyang Olympic Sports Centre Stadium,0,,"[41.7391127, 123.457442]"
Perth  Western Australia,131,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Perth_Stadium_opening_210118_gnangarra-10.jpg/250px-Perth_Stadium_opening_210118_gnangarra-10.jpg,Oceania,Australia,Optus Stadium,0,Perth Glory FC  Fremantle Dockers  West Coast Eagles,"[-31.9510448, 115.8890756]"
Harare,132,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/2003_Harare_Stadium%2C_Zimbabwe_557109164.jpg/250px-2003_Harare_Stadium%2C_Zimbabwe_557109164.jpg,Africa,Zimbabwe,National Sports Stadium,0,Zimbabwe national football team,"[-17.8214149, 30.9950735]"
Guayaquil,133,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Estadio_Monumental_de_Barcelona.jpg/250px-Estadio_Monumental_de_Barcelona.jpg,South America,Ecuador,Estadio Monumental Isidro Romero Carbo,0,Barcelona Sporting Club,"[-2.1858223, -79.92497]"
Décines-Charpieu,134,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Stade_Lumi%C3%A8re.jpg/250px-Stade_Lumi%C3%A8re.jpg,Europe,France,Groupama Stadium,0,Olympique Lyonnais,"[45.7653624, 4.9820543]"
Chongqing,135,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Chongqing_Olympic_Stadium.jpg/250px-Chongqing_Olympic_Stadium.jpg,East Asia,China,Chongqing Olympic Sports Centre Stadium,0,,"[29.5286397, 106.5021603]"
Warsaw,136,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/National_Stadium_panorama.jpg/250px-National_Stadium_panorama.jpg,Europe,Poland,Kazimierz Górski National Stadium,0,Poland national football team,"[52.2333742, 21.0711489]"
Bari  Apulia,137,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Nuoviseggiolinisannicola.jpg/250px-Nuoviseggiolinisannicola.jpg,Europe,Italy,Stadio San Nicola,0,SSC Bari,"[41.0847276, 16.8400849]"
Landover  Maryland,138,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/FedexField2014.jpg/250px-FedexField2014.jpg,North America,United States,Commanders Field,0,Washington Commanders,"[38.9253129, -76.8815433]"
